case_study,dmn_file,decision_name,io,variable_name,feel_type,predicted_table,predicted_column,confidence,predicted_mapping_type,top3_candidates,notes
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,suspendedRegistrationNotRestored,boolean,,,0.175,needs review (no confident match),ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.18); ORA_ASPNET_APPLICATIONS.APPLICATIONID (0.14); ORA_ASPNET_MEMBERSHIP.APPLICATIONID (0.14),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,newAdmissionEligibilityNotMet,boolean,,,0.17,needs review (no confident match),ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.17); ORA_ASPNET_SESSIONS.SESSIONITEMLONG (0.16); DOCUMENT_VERIFICATION.ADMISSION_TYPE (0.12),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,output,admissionStatus,string,,,,"not-persisted (output/control-flow, default)",FMEXECUTIVEREPORTDATA.STATUS (0.53); FMSEMFEE_20190114.STATUS (0.53); FMSEMFEE_20190129.STATUS (0.53),auto-generated
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,output,closureReason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (0.56); PHD_STUDENT_SUPERVISOR_LOG.REASON (0.56); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.32),auto-generated
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,allPrerequisitesPassed,boolean,,,0.153,"likely derived (auto, low confidence -- needs review)",ORA_ASPNET_PROFILE.PROPERTYNAMES (0.15); COURSE_COREQUISITE.COREQUISITE_COURSE (0.14); ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.12),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,newWarningCount,number,STUDENT_PROGRAM,WARNING,0.47,"derived (auto, needs formula review)",STUDENT_PROGRAM.WARNING (0.47); STUDENT_SEMESTER.WARNING (0.47); CNIC_LOG.NEW_RELATION (0.30),auto-generated
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,isMandatoryReregistration,boolean,,,0.153,needs review (no confident match),ORA_ASPNET_PROFILE.PROPERTYVALUESSTRING (0.15); COURSE_REGISTRATION.IS_REPLACED (0.14); COURSE_REGISTRATION_T.IS_REPLACED (0.14),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,projectedTotalCoursesThisRegistration,number,,,0.273,"likely derived (auto, low confidence -- needs review)",COURSE_EVALUATION.TOTAL_MARKS (0.27); STUDENT_QUALIFICATION.TOTAL_SCORE (0.26); FMEXECUTIVEREPORTDATA.COURSES (0.25),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,maxCoursesAllowed,number,,,0.446,needs review (no confident match),FMEXECUTIVEREPORTDATA.COURSES (0.45); FMSEMFEE_20190114.COURSES (0.45); FMSEMFEE_20190129.COURSES (0.45),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,output,canRegisterCourse,boolean,,,,"not-persisted (output/control-flow, default)",COURSE_COREQUISITE.COREQUISITE_COURSE (0.22); COURSE_REGISTRATION.RESTRICTED_COURSE_ID (0.18); COURSE_REGISTRATION_T.RESTRICTED_COURSE_ID (0.18),auto-generated
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,output,reason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (1.00); PHD_STUDENT_SUPERVISOR_LOG.REASON (1.00); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.42),auto-generated
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,degreeRequirementsCompletedOrCompletingThisSemester,boolean,,,0.109,needs review (no confident match),ORA_ASPNET_PERSONALIZNALLUSERS.PAGESETTINGS (0.11); ORA_ASPNET_PERSONALIZNPERUSER.PAGESETTINGS (0.11); COURSE_REGISTRATION.RESTRICTED_COURSE_ID (0.10),"auto-generated, unreviewed"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,gradeInCourseToReplace,string,,,0.36,needs review (no confident match),TT_STD_REGISTRATION.COURSE_CODE (0.36); COURSE_REGISTRATION.GRADE (0.33); COURSE_REGISTRATION_T.GRADE (0.33),"auto-generated, unreviewed"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,courseOfferedInFollowingSemesters,boolean,,,0.144,needs review (no confident match),COURSE_PREREQ.COURSE_PREREQ (0.14); COURSE.COURSE_ID (0.13); COURSE_COREQUISITE.COURSE_ID (0.13),"auto-generated, unreviewed"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,replacingCoursePassedAtLeastOneSemesterAfter,boolean,,,0.128,needs review (no confident match),ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.13); COURSE_REGISTRATION.REPEAT_COURSE_ID (0.13); COURSE_REGISTRATION_T.REPEAT_COURSE_ID (0.13),"auto-generated, unreviewed"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,isCoreCourse,boolean,,,0.203,needs review (no confident match),COURSE_COREQUISITE.COREQUISITE_COURSE (0.20); COURSE.COURSE_ID (0.19); COURSE_COREQUISITE.COURSE_ID (0.19),"auto-generated, unreviewed"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,output,eligibleForReplacement,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.14); ORA_ASPNET_MEMBERSHIP.COMMENTS (0.13); COURSE_REGISTRATION.IS_REPLACED (0.13),auto-generated
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,output,reason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (1.00); PHD_STUDENT_SUPERVISOR_LOG.REASON (1.00); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.42),auto-generated
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,cumulativeExemptedCreditPercentIfGranted,number,,,0.347,"likely derived (auto, low confidence -- needs review)",STUDENT_PROGRAM.CREDIT_EXEMPTED (0.35); BATCH_PROGRAM.AVG_CREDIT (0.22); COURSE.MIN_CREDIT_HRS (0.22),"auto-generated, unreviewed"
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,prerequisiteCourseAlsoPassed,boolean,,,0.143,needs review (no confident match),ORA_ASPNET_PROFILE.PROPERTYVALUESSTRING (0.14); ORA_ASPNET_PROFILE.PROPERTYVALUESBINARY (0.14); COURSE_COREQUISITE.COREQUISITE_COURSE (0.14),"auto-generated, unreviewed"
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,exemptionGranted,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_PERSONALIZNALLUSERS.PAGESETTINGS (0.16); ORA_ASPNET_PERSONALIZNPERUSER.PAGESETTINGS (0.16); ORA_ASPNET_APPLICATIONS.APPLICATIONID (0.16),auto-generated
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,creditGivenForPrerequisite,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_PROFILE.PROPERTYNAMES (0.12); STUDENT_PROGRAM.CREDIT_EXEMPTED (0.12); ORA_ASPNET_SESSIONS.SESSIONITEMLONG (0.11),auto-generated
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,countsTowardCGPA,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_MEMBERSHIP.COMMENTS (0.16); ORA_ASPNET_MEMBERSHIP.USERID (0.14); ORA_ASPNET_PERSONALIZNPERUSER.USERID (0.14),auto-generated
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,reason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (1.00); PHD_STUDENT_SUPERVISOR_LOG.REASON (1.00); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.42),auto-generated
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,output,attendancePercentage,number,,,,"not-persisted (output/control-flow, default)",C_TEMP.PERCENTAGE (0.57); PHD_COMPREHENSIVETEST.PERCENTAGE (0.57); STUDENT_QUALIFICATION.PERCENTAGE (0.57),auto-generated
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesAttended,,,,0.285,needs review (no confident match),STUDENT_ATTENDANCE.LECTURE_ID (0.29); LECTURE.LECTURE_DATE (0.27); STUDENT_ATTENDANCE.CREATED_BY (0.26),"auto-generated, unreviewed"
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesHeldForOffering,,,,0.235,needs review (no confident match),STUDENT_ATTENDANCE.LECTURE_ID (0.24); PHD_STUDENT_SUPERVISOR_LOG.COMMENTS_FOR_SUPERVISOR (0.23); PHD_STUDENT_SUPERVISOR_LOG.COMMENTS_FOR_GSC (0.22),"auto-generated, unreviewed"
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,input,attendancePercentage,number,C_TEMP,PERCENTAGE,0.575,"derived (auto, needs formula review)",C_TEMP.PERCENTAGE (0.57); PHD_COMPREHENSIVETEST.PERCENTAGE (0.57); STUDENT_QUALIFICATION.PERCENTAGE (0.57),auto-generated
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,output,eligibleForFinalExam,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.13); ORA_ASPNET_APPLICATIONS.APPLICATIONID (0.12); ORA_ASPNET_MEMBERSHIP.APPLICATIONID (0.12),auto-generated
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,output,assignedGradeOverride,string,,,,"not-persisted (output/control-flow, default)",GRADING_ZFACTOR.GRADE_ID (0.40); GRADING_SCHEME.AVG_GRADE (0.40); COURSE_REGISTRATION.GRADE (0.36),auto-generated
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,input,letterGrade,string,GRADE,GRADE,0.606,"direct (auto, confident)",GRADE.GRADE (0.61); COURSE_REGISTRATION.GRADE (0.56); COURSE_REGISTRATION_T.GRADE (0.56),auto-generated
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,output,gradePoints,number,,,,"not-persisted (output/control-flow, default)",GRADE.GRADE_POINT (0.64); COURSE_REGISTRATION.GRADE_POINT (0.59); COURSE_REGISTRATION_T.GRADE_POINT (0.59),auto-generated
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,output,interpretation,string,,,,"not-persisted (output/control-flow, default)",PHD_LOCAL_EVALUATORS.INSTITUTION (0.29); STUDENT_QUALIFICATION.INSTITUTION (0.29); REGISTRATIONLOG.RELATION (0.29),auto-generated
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,creditHoursEarned,number,STUDENT_PROGRAM,CREDITS_EARNED,0.515,"direct (auto, confident)",STUDENT_PROGRAM.CREDITS_EARNED (0.51); STUDENT_SEMESTER.CREDITS_EARNED (0.51); COURSE.CREDIT_HRS (0.44),auto-generated
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,degreeMinimumCreditHours,number,,,0.376,needs review (no confident match),COURSE.MIN_CREDIT_HRS (0.38); TT_STD_REGISTRATION.MIN_CREDIT_HRS (0.38); COURSE.CREDIT_HRS (0.35),"auto-generated, unreviewed"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,cumulativeGPA,number,,,0.225,"likely derived (auto, low confidence -- needs review)",FMSPONSORSHIP.MINSGPA (0.23); FMSTUDENTSPONSORSHIP.MINSGPA (0.23); FB_QUESTIONS.ISACTIVE (0.21),"auto-generated, unreviewed"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,semestersElapsed,number,,,0.21,"likely derived (auto, low confidence -- needs review)",FMLEDGER_SPONS_TEMP.STUDENTSPONSID (0.21); FMLEDGER_STUDENTSPONS.STUDENTSPONSID (0.21); DISCIPLINE_PREFERENCE.ISSELECTED (0.21),"auto-generated, unreviewed"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,yearsElapsed,number,,,0.235,"likely derived (auto, low confidence -- needs review)",D_FAMILY_RELATION.REL_TYPE_ID (0.23); STUDENT_FAMILY_INFO.REL_TYPE_ID (0.23); NUTES_SEG_DATA.YEAR (0.23),"auto-generated, unreviewed"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,output,eligibleToGraduate,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_SESSIONS.SESSIONITEMLONG (0.12); ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.11); D_DEPT_EVAL_SCHEME.WEIGHT_TO (0.11),auto-generated
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,output,reason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (1.00); PHD_STUDENT_SUPERVISOR_LOG.REASON (1.00); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.42),auto-generated
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isResearchCourseOrProject,boolean,,,0.154,needs review (no confident match),COURSE_REGISTRATION.REPEAT_COURSE_ID (0.15); COURSE_REGISTRATION_T.REPEAT_COURSE_ID (0.15); TT_STD_REGISTRATION.COURSE_CODE (0.15),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isNewCourseRequest,boolean,,,0.165,needs review (no confident match),TT_STD_REGISTRATION.COURSE_CODE (0.16); TT_STD_REGISTRATION.COURSE_TITLE (0.16); COURSE_REGISTRATION.COURSE_ID (0.16),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isElectiveTaughtByVisitingScholarUnavailableOtherwise,boolean,,,0.111,needs review (no confident match),ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.11); COURSE_REGISTRATION.IS_REPLACED (0.10); COURSE_REGISTRATION_T.IS_REPLACED (0.10),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isNeededToGraduateThisSummer,boolean,,,0.131,needs review (no confident match),ORA_ASPNET_WEBEVENTS.DETAILS (0.13); COURSE_REGISTRATION.IS_REPLACED (0.12); COURSE_REGISTRATION_T.IS_REPLACED (0.12),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,repeatCourseCountRequested,number,,,0.34,"likely derived (auto, low confidence -- needs review)",COURSE_REGISTRATION.COURSE_ID (0.34); COURSE_REGISTRATION_T.COURSE_ID (0.34); TT_STD_REGISTRATION.COURSE_ID (0.34),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,minimumTenStudentsEnrolled,boolean,,,0.135,needs review (no confident match),ORA_ASPNET_MEMBERSHIP.COMMENTS (0.14); ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (0.13); ORA_ASPNET_MEMBERSHIP.USERID (0.12),"auto-generated, unreviewed"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,output,registrationAllowed,boolean,,,,"not-persisted (output/control-flow, default)",ORA_ASPNET_APPLICATIONS.APPLICATIONID (0.17); ORA_ASPNET_MEMBERSHIP.APPLICATIONID (0.17); ORA_ASPNET_PATHS.APPLICATIONID (0.17),auto-generated
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,output,reason,string,,,,"not-persisted (output/control-flow, default)",PHD_STUDENT_SUPERVISOR.REASON (1.00); PHD_STUDENT_SUPERVISOR_LOG.REASON (1.00); PHD_CLOSURE_ADMISSION_DETAIL.REASONS (0.42),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,input,isObsGroup,boolean,,,0.356,needs review (no confident match),concept.is_set (0.36); field_type.is_set (0.31); concept_map_type.is_hidden (0.28),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,input,conceptDatatype,string,concept_attribute_type,datatype,0.638,"direct (auto, confident)",concept_attribute_type.datatype (0.64); diagnosis_attribute_type.datatype (0.59); form_resource.datatype (0.59),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,output,requiredValueColumn,string,,,,"not-persisted (output/control-flow, default)",clob_datatype_storage.value (0.42); obs.value_complex (0.41); person_attribute.value (0.37),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,isObsGroup,boolean,,,0.356,needs review (no confident match),concept.is_set (0.36); field_type.is_set (0.31); concept_map_type.is_hidden (0.28),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,anyValueFieldSet,boolean,,,0.324,"likely derived (auto, low confidence -- needs review)",concept.is_set (0.32); field_type.is_set (0.27); concept_name.locale_preferred (0.22),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,output,obsStructureValid,boolean,,,,"not-persisted (output/control-flow, default)",scheduler_task_config.started (0.23); concept.retired (0.20); concept_attribute_type.retired (0.20),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.58); concept_attribute.void_reason (0.49); concept_name.void_reason (0.49),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,input,allowDecimal,boolean,concept_numeric,allow_decimal,1.0,"direct (auto, confident)",concept_numeric.allow_decimal (1.00); concept_attribute.voided (0.20); concept_name.voided (0.20),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,input,valueNumericHasFraction,boolean,,,0.201,needs review (no confident match),obs.value_numeric (0.20); concept_name.locale_preferred (0.19); concept_numeric.allow_decimal (0.17),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,output,precisionValid,boolean,,,,"not-persisted (output/control-flow, default)",concept.retired (0.22); concept_attribute_type.retired (0.22); concept_class.retired (0.22),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.58); concept_attribute.void_reason (0.49); concept_name.void_reason (0.49),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,hiAbsoluteSet,boolean,,,0.424,needs review (no confident match),concept.is_set (0.42); field_type.is_set (0.37); concept_numeric.hi_absolute (0.31),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,valueNumeric,number,obs,value_numeric,0.982,"direct (auto, confident)",obs.value_numeric (0.98); obs.value_drug (0.43); obs.value_coded (0.42),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,hiAbsolute,number,concept_numeric,hi_absolute,1.0,"direct (auto, confident)",concept_numeric.hi_absolute (1.00); concept_reference_range.hi_absolute (1.00); obs_reference_range.hi_absolute (1.00),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,lowAbsoluteSet,boolean,,,0.367,needs review (no confident match),concept.is_set (0.37); field_type.is_set (0.32); concept_numeric.low_absolute (0.31),"auto-generated, unreviewed"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,lowAbsolute,number,concept_numeric,low_absolute,1.0,"direct (auto, confident)",concept_numeric.low_absolute (1.00); concept_reference_range.low_absolute (1.00); obs_reference_range.low_absolute (1.00),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,output,absoluteRangeValid,boolean,,,,"not-persisted (output/control-flow, default)",concept_name.locale_preferred (0.21); program_workflow_state.terminal (0.21); notification_alert.alert_read (0.19),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.58); concept_attribute.void_reason (0.49); concept_name.void_reason (0.49),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,valueNumeric,number,obs,value_numeric,0.982,"direct (auto, confident)",obs.value_numeric (0.98); obs.value_drug (0.43); obs.value_coded (0.42),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,hiCritical,number,concept_numeric,hi_critical,1.0,"direct (auto, confident)",concept_numeric.hi_critical (1.00); concept_reference_range.hi_critical (1.00); obs_reference_range.hi_critical (0.98),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,hiNormal,number,concept_numeric,hi_normal,1.0,"direct (auto, confident)",concept_numeric.hi_normal (1.00); concept_reference_range.hi_normal (1.00); obs_reference_range.hi_normal (0.97),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,lowCritical,number,concept_numeric,low_critical,1.0,"direct (auto, confident)",concept_numeric.low_critical (1.00); concept_reference_range.low_critical (1.00); obs_reference_range.low_critical (0.98),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,lowNormal,number,concept_numeric,low_normal,1.0,"direct (auto, confident)",concept_numeric.low_normal (1.00); concept_reference_range.low_normal (1.00); obs_reference_range.low_normal (0.98),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,output,interpretation,string,,,,"not-persisted (output/control-flow, default)",obs.interpretation (1.00); orders.instructions (0.28); concept.description (0.27),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,localePreferred,boolean,concept_name,locale_preferred,1.0,"direct (auto, confident)",concept_name.locale_preferred (1.00); person_name.preferred (0.66); patient_identifier.preferred (0.61),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,conceptNameType,string,concept_name,concept_name_type,1.0,"direct (auto, confident)",concept_name.concept_name_type (1.00); concept_attribute_type.name (0.42); concept_class.name (0.42),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,voided,boolean,allergy,voided,1.0,"direct (auto, confident)",allergy.voided (1.00); cohort.voided (1.00); cohort_member.voided (1.00),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,output,preferredNameValid,boolean,,,,"not-persisted (output/control-flow, default)",person_name.preferred (0.53); patient_identifier.preferred (0.48); person_address.preferred (0.48),auto-generated
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.58); concept_attribute.void_reason (0.49); concept_name.void_reason (0.49),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,dateActivatedSet,boolean,,,0.301,needs review (no confident match),concept.is_set (0.30); field_type.is_set (0.30); orders.date_activated (0.26),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,dateActivated,date,orders,date_activated,0.983,"direct (auto, confident)",orders.date_activated (0.98); order_attribute.date_created (0.56); order_attribute_type.date_created (0.56),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,dateStoppedSet,boolean,,,0.318,needs review (no confident match),concept.is_set (0.32); field_type.is_set (0.32); orders.date_stopped (0.26),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,dateStopped,date,orders,date_stopped,0.98,"direct (auto, confident)",orders.date_stopped (0.98); visit.date_stopped (0.98); order_attribute.date_voided (0.52),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,autoExpireDateSet,boolean,,,0.278,needs review (no confident match),orders.auto_expire_date (0.28); concept.is_set (0.27); field_type.is_set (0.27),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,autoExpireDate,date,orders,auto_expire_date,0.97,"direct (auto, confident)",orders.auto_expire_date (0.97); notification_alert.date_to_expire (0.56); order_attribute_type.date_retired (0.43),auto-generated
